departement;categorie;titre;contenu;difficulte;rarete;source;consigne
75 Paris;gastronomie;Le jambon-beurre urbain;Le jambon-beurre est devenu un symbole de repas parisien rapide, pratique et populaire. Rien de luxueux ici. L’anecdote fonctionne justement parce qu’elle oppose la capitale des grands chefs à une culture du comptoir, du train et de la pause courte.;2;commune;Observatoire du pain;moins de 15 secondes sur smartphone
75 Paris;culture;Le Louvre monde entier;Le Louvre donne à Paris une force culturelle mondiale, mais son succès tient aussi à sa variété. On y traverse l’Antiquité, la peinture européenne et l’histoire du palais. Une seule visite devient un résumé immense de plusieurs civilisations. C’est un repère culturel facile à retenir pendant une partie.;1;commune;Musée du Louvre;moins de 15 secondes sur smartphone
75 Paris;culture;Le cinéma naît en salle;En 1895, une projection publique des frères Lumière au Grand Café marque une étape majeure de l’histoire du cinéma. Paris devient alors un lieu de naissance du spectacle filmé. L’anecdote est courte, claire et immédiatement culturelle. C’est un repère culturel facile à retenir pendant une partie.;2;commune;Institut Lumière;moins de 15 secondes sur smartphone
75 Paris;culture;Saint-Germain jazz;Après la Seconde Guerre mondiale, Saint-Germain-des-Prés devient un lieu associé au jazz, aux caves et aux écrivains. L’anecdote montre un Paris nocturne et intellectuel. La culture n’est pas seulement dans les musées, elle descend aussi sous les rues. C’est un repère culturel facile à retenir pendant une partie.;3;peu commune;Paris je t'aime Office de tourisme;moins de 15 secondes sur smartphone
75 Paris;culture;La haute couture;Paris reste une capitale de la haute couture, avec des maisons, des défilés et un calendrier international. Cette culture du vêtement est un territoire en soi. Elle transforme rues, ateliers et vitrines en marqueurs visibles de puissance symbolique. C’est un repère culturel facile à retenir pendant une partie.;2;commune;Fédération de la Haute Couture;moins de 15 secondes sur smartphone
75 Paris;culture;Le treizième en fresques;Le treizième arrondissement est devenu l’un des grands terrains parisiens du street art monumental. Les façades y servent de pages urbaines. Cette anecdote donne une image contemporaine de Paris, moins carte postale et plus mur vivant. C’est un repère culturel facile à retenir pendant une partie.;3;peu commune;Ville de Paris;moins de 15 secondes sur smartphone
75 Paris;insolite;Le point zéro;Devant Notre-Dame se trouve le point zéro des routes de France. Beaucoup de visiteurs passent dessus sans le voir. L’anecdote est simple et efficace, car elle donne à une petite plaque le rôle symbolique de centre routier national. Ce détail crée une image rapide, utile pour retenir le département.;2;commune;Ville de Paris;moins de 15 secondes sur smartphone
75 Paris;insolite;Une vigne à Montmartre;Montmartre possède encore une petite vigne, le Clos Montmartre. Elle surprend car Paris semble trop dense pour ce genre de paysage. La vigne rappelle pourtant un passé de coteaux et de villages avant l’absorption par la capitale. Ce détail crée une image rapide, utile pour retenir le département.;2;commune;Musée de Montmartre;moins de 15 secondes sur smartphone
75 Paris;insolite;Une fausse façade;Paris possède quelques façades qui cachent des équipements techniques, comme des ventilations ou accès de réseau. Elles imitent l’immeuble ordinaire pour préserver la continuité de la rue. L’anecdote révèle une ville qui maquille parfois son infrastructure. Ce détail crée une image rapide, utile pour retenir le département.;4;rare;RATP;moins de 15 secondes sur smartphone
75 Paris;insolite;Le canal sous la ville;Le canal Saint-Martin disparaît par endroits sous des voûtes et des boulevards. Cette alternance entre eau visible et eau cachée donne un Paris presque secret. Un même canal peut être promenade, ouvrage technique et décor de cinéma. Ce détail crée une image rapide, utile pour retenir le département.;3;peu commune;Ville de Paris;moins de 15 secondes sur smartphone
75 Paris;insolite;La rue des Degrés;La rue des Degrés est souvent citée comme la plus courte rue de Paris. Elle tient presque uniquement dans un escalier. L’anecdote amuse parce qu’elle renverse l’image immense de la capitale par un détail minuscule et très facile à retenir.;3;peu commune;Ville de Paris;moins de 15 secondes sur smartphone
59 Nord;histoire;Lille devient française;Lille, longtemps liée aux Flandres, entre dans le royaume de France sous Louis XIV après les conquêtes du XVIIe siècle. La citadelle de Vauban rappelle cette histoire frontalière. Le Nord se lit ici comme un territoire disputé, fortifié et stratégique.;3;commune;Ville de Lille;moins de 15 secondes sur smartphone
59 Nord;histoire;Bouvines, bataille décisive;La bataille de Bouvines, en 1214, se déroule dans l’actuel département du Nord. Elle renforce l’autorité de Philippe Auguste et marque durablement l’histoire politique française. Une petite commune porte ainsi un épisode majeur de construction monarchique. Ce repère aide à mémoriser le département sans multiplier les dates.;3;peu commune;Archives départementales du Nord;moins de 15 secondes sur smartphone
59 Nord;histoire;Dunkerque 1940;L’évacuation de Dunkerque, en 1940, reste un épisode majeur de la Seconde Guerre mondiale. Des centaines de milliers de soldats alliés quittent la poche par la mer. Le Nord devient ici un paysage de plage, de guerre et de survie.;2;commune;Dunkerque Tourisme;moins de 15 secondes sur smartphone
59 Nord;histoire;Roubaix textile;Roubaix fut l’une des grandes villes textiles françaises, marquée par les usines, les filatures et les fortunes industrielles. Cette histoire explique encore son urbanisme. Pour GeoDoku, le Nord gagne une identité ouvrière très forte et immédiatement lisible. Ce repère aide à mémoriser le département sans multiplier les dates.;2;commune;Archives municipales de Roubaix;moins de 15 secondes sur smartphone
59 Nord;histoire;Le bassin minier;Le bassin minier du Nord et du Pas-de-Calais a façonné paysages, villes et mémoire ouvrière. Même si l’image dépasse les limites départementales, elle reste centrale pour comprendre le Nord. Terrils, corons et chevalements composent une géographie historique. Ce repère aide à mémoriser le département sans multiplier les dates.;2;commune;Mission Bassin Minier;moins de 15 secondes sur smartphone
59 Nord;histoire;Cambrai et la paix des Dames;Cambrai est associé à la paix des Dames, signée en 1529 entre puissances européennes. L’épisode montre que le Nord fut aussi un espace diplomatique. Les villes frontalières ne servent pas seulement à combattre, elles servent aussi à négocier. Ce repère aide à mémoriser le département sans multiplier les dates.;4;rare;Ville de Cambrai;moins de 15 secondes sur smartphone
59 Nord;histoire;Douai et son beffroi;Le beffroi de Douai rappelle l’autonomie urbaine et la puissance des villes du Nord. Plus qu’une belle tour, il raconte une culture civique. Dans cette région, la verticalité des beffrois signale autant la ville que l’église. Ce repère aide à mémoriser le département sans multiplier les dates.;3;peu commune;UNESCO Beffrois de Belgique et de France;moins de 15 secondes sur smartphone
59 Nord;histoire;Valenciennes artiste;Valenciennes fut surnommée l’Athènes du Nord pour son intense vie artistique et intellectuelle. Le surnom peut surprendre, mais il dit une vraie ambition urbaine. Le Nord n’est pas seulement industriel, il possède aussi une mémoire savante et artistique. Ce repère aide à mémoriser le département sans multiplier les dates.;4;rare;Ville de Valenciennes;moins de 15 secondes sur smartphone
59 Nord;histoire;Maubeuge fortifiée;Maubeuge, proche de la frontière belge, garde une histoire de place forte. Ses remparts et son rôle militaire rappellent que le Nord s’est longtemps pensé comme bordure défensive. Le département devient une ligne, pas seulement une région. Ce repère aide à mémoriser le département sans multiplier les dates.;3;peu commune;Ville de Maubeuge;moins de 15 secondes sur smartphone
59 Nord;histoire;Occupation de 14-18;Pendant la Première Guerre mondiale, une partie du Nord connaît l’occupation allemande. Cette expérience laisse une mémoire différente de celle du front seul. Le territoire raconte la guerre par la vie quotidienne, les contraintes et l’attente de la libération. Ce repère aide à mémoriser le département sans multiplier les dates.;4;peu commune;Archives départementales du Nord;moins de 15 secondes sur smartphone
59 Nord;géographie;Le point le plus au nord;Bray-Dunes est souvent citée comme la commune la plus septentrionale de France métropolitaine. Cette position donne au Nord un record très simple à retenir. Le département porte littéralement le nom de sa place sur la carte. Ce repère donne une image claire du département en quelques secondes.;1;commune;IGN;moins de 15 secondes sur smartphone
59 Nord;géographie;Flandre plate;La Flandre française donne au Nord de grands horizons bas, des vents et des villages de brique. Ce relief discret est important. Il explique autant les paysages agricoles que les silhouettes de beffrois et les ciels très ouverts. Ce repère donne une image claire du département en quelques secondes.;2;commune;Parc naturel régional des Caps et Marais d'Opale;moins de 15 secondes sur smartphone
59 Nord;géographie;Le port de Dunkerque;Dunkerque donne au Nord une façade maritime puissante, industrielle et commerciale. Le département n’est donc pas seulement frontalier et ouvrier. Il est aussi tourné vers la mer du Nord, les ferries, les docks et les grands trafics. Ce repère donne une image claire du département en quelques secondes.;2;commune;Grand Port Maritime de Dunkerque;moins de 15 secondes sur smartphone
59 Nord;géographie;L’Avesnois bocager;L’Avesnois offre une image plus verte et vallonnée du Nord, avec bocage, prairies et villages de pierre bleue. Cette zone casse le cliché d’un département uniquement plat ou industriel. Le Nord possède aussi une campagne intime. Ce repère donne une image claire du département en quelques secondes.;3;peu commune;Parc naturel régional de l'Avesnois;moins de 15 secondes sur smartphone
59 Nord;géographie;Scarpe et Escaut;Le parc naturel Scarpe-Escaut montre un Nord de zones humides, forêts et anciennes activités minières. La géographie y rencontre l’histoire industrielle. C’est une bonne anecdote pour montrer que nature et mémoire ouvrière peuvent partager le même territoire. Ce repère donne une image claire du département en quelques secondes.;3;peu commune;Parc naturel régional Scarpe-Escaut;moins de 15 secondes sur smartphone
59 Nord;gastronomie;La carbonnade flamande;La carbonnade flamande associe viande mijotée, bière et pain d’épices ou cassonade selon les recettes. Elle donne au Nord une cuisine de chaleur et de lenteur. Une anecdote simple, parce qu’elle résume climat, bière et convivialité en un plat. Ce goût local donne une accroche simple au joueur sur smartphone.;1;commune;Comité régional de tourisme Hauts-de-France;moins de 15 secondes sur smartphone
59 Nord;gastronomie;Le maroilles;Le maroilles est l’un des fromages les plus reconnaissables du Nord par son odeur et son caractère. Il vient de l’Avesnois et raconte une gastronomie franche. Dans un jeu, c’est une réponse forte car elle marque immédiatement la mémoire. Ce goût local donne une accroche simple au joueur sur smartphone.;1;commune;INAO;moins de 15 secondes sur smartphone
59 Nord;gastronomie;Moules-frites de carnaval;À Dunkerque, les moules-frites accompagnent volontiers l’imaginaire maritime et festif. Le plat n’est pas propre à la ville seule, mais il colle parfaitement à son ambiance. Mer, foule et convivialité se retrouvent dans une assiette très lisible. Ce goût local donne une accroche simple au joueur sur smartphone.;2;commune;Dunkerque Tourisme;moins de 15 secondes sur smartphone
59 Nord;gastronomie;La gaufre lilloise;La gaufre fourrée lilloise, fine et parfumée, fait partie des douceurs emblématiques de la ville. Elle évoque les boutiques anciennes et les cadeaux que l’on rapporte. Le Nord gagne ici une facette délicate, loin des seuls plats robustes. Ce goût local donne une accroche simple au joueur sur smartphone.;2;commune;Office de tourisme de Lille;moins de 15 secondes sur smartphone
59 Nord;gastronomie;La bière du Nord;Le Nord possède une culture brassicole très forte, liée à la Flandre, aux estaminets et aux traditions locales. La bière y accompagne la cuisine, les fêtes et les sociabilités. C’est une clé simple pour comprendre l’ambiance régionale. Ce goût local donne une accroche simple au joueur sur smartphone.;2;commune;Comité régional de tourisme Hauts-de-France;moins de 15 secondes sur smartphone
59 Nord;culture;La braderie de Lille;La braderie de Lille transforme la ville en immense marché populaire. On y vient autant pour chiner que pour vivre l’ambiance. Cette culture de rue donne au Nord une image conviviale, dense et immédiatement reconnaissable, même pour un joueur novice.;1;commune;Ville de Lille;moins de 15 secondes sur smartphone
59 Nord;culture;Le carnaval de Dunkerque;Le carnaval de Dunkerque est un événement majeur de culture populaire, avec bandes, costumes, chants et foule compacte. Il raconte une ville portuaire par le corps et la fête. L’anecdote donne au Nord une énergie très spécifique. C’est un repère culturel facile à retenir pendant une partie.;1;commune;Dunkerque Tourisme;moins de 15 secondes sur smartphone
59 Nord;culture;La Piscine de Roubaix;Le musée La Piscine, installé dans un ancien établissement de bains, donne à Roubaix un lieu culturel unique. Le décor garde la mémoire de l’eau et du soin. C’est une reconversion très parlante d’un patrimoine urbain en musée. C’est un repère culturel facile à retenir pendant une partie.;2;commune;La Piscine Roubaix;moins de 15 secondes sur smartphone
59 Nord;culture;Les beffrois;Les beffrois du Nord racontent une culture urbaine de libertés communales, de cloches et de repères verticaux. Ils sont visibles, sonores et symboliques. Pour GeoDoku, ils transforment l’architecture en signe politique et populaire. C’est un repère culturel facile à retenir pendant une partie.;2;commune;UNESCO Beffrois de Belgique et de France;moins de 15 secondes sur smartphone
59 Nord;culture;La langue ch’ti;Le parler ch’ti, rendu très célèbre par la culture populaire, rappelle que le Nord possède une identité linguistique affective. Au-delà de la caricature, il dit un rapport au territoire, à l’humour et à la proximité sociale. C’est un repère culturel facile à retenir pendant une partie.;2;commune;Comité régional de tourisme Hauts-de-France;moins de 15 secondes sur smartphone
59 Nord;insolite;Les géants du Nord;Les géants processionnels font partie des traditions festives du Nord et de la Belgique voisine. Ces grandes figures portées dans les rues donnent une présence presque théâtrale aux villes. L’anecdote est visuelle, joyeuse et très facile à retenir. Ce détail crée une image rapide, utile pour retenir le département.;2;commune;UNESCO Géants et dragons processionnels;moins de 15 secondes sur smartphone
59 Nord;insolite;La Villa Cavrois;À Croix, la Villa Cavrois surprend par son modernisme élégant au milieu de la métropole lilloise. Elle montre que le Nord industriel a aussi produit une architecture d’avant-garde. Ce contraste rend l’anecdote beaucoup plus forte qu’une simple maison. Ce détail crée une image rapide, utile pour retenir le département.;3;peu commune;Centre des monuments nationaux;moins de 15 secondes sur smartphone
59 Nord;insolite;Les douches de Roubaix;L’arrivée du Paris-Roubaix se termine au vélodrome de Roubaix, où les célèbres douches portent les noms des vainqueurs. Le détail est presque muséal. Une course cycliste devient un lieu, une mémoire et un rituel sportif. Ce détail crée une image rapide, utile pour retenir le département.;3;peu commune;Paris-Roubaix;moins de 15 secondes sur smartphone
59 Nord;insolite;Cassel sur sa hauteur;Cassel surprend parce qu’elle domine la plaine flamande depuis une hauteur très nette. Dans un département souvent imaginé plat, ce relief devient un signal. Le village prouve que le Nord sait aussi jouer avec les points de vue. Ce détail crée une image rapide, utile pour retenir le département.;3;peu commune;Office de tourisme de Flandre;moins de 15 secondes sur smartphone
59 Nord;insolite;La Vieille Bourse vivante;À Lille, la cour de la Vieille Bourse accueille bouquinistes, joueurs d’échecs et promeneurs. Le monument n’est donc pas figé. Il fonctionne comme une scène quotidienne, où le patrimoine reste vivant sans perdre son élégance. Ce détail crée une image rapide, utile pour retenir le département.;2;commune;Ville de Lille;moins de 15 secondes sur smartphone
69 Rhône;histoire;Lugdunum capitale;Lyon naît comme Lugdunum, grande ville romaine et capitale des Gaules. Cette origine donne au Rhône une profondeur antique exceptionnelle. Avant les bouchons, les traboules ou la soie, le territoire s’impose déjà comme un centre politique majeur. Ce repère aide à mémoriser le département sans multiplier les dates.;2;commune;Musée Lugdunum;moins de 15 secondes sur smartphone
69 Rhône;histoire;Les théâtres de Fourvière;Les théâtres antiques de Fourvière rappellent que le spectacle public existait déjà dans la ville romaine. Leur présence rend l’Antiquité très visible. Le Rhône possède ainsi un patrimoine ancien que l’on peut comprendre immédiatement par la forme des gradins. Ce repère aide à mémoriser le département sans multiplier les dates.;2;commune;Musée Lugdunum;moins de 15 secondes sur smartphone
69 Rhône;histoire;La soie des canuts;Au XIXe siècle, les canuts de la Croix-Rousse font de Lyon une capitale de la soie. Leur travail marque l’architecture, les pentes et les luttes sociales. L’anecdote relie savoir-faire, ville haute et mémoire ouvrière. Ce repère aide à mémoriser le département sans multiplier les dates.;2;commune;Musée des Tissus Lyon;moins de 15 secondes sur smartphone
69 Rhône;histoire;Révoltes canuses;Les révoltes des canuts montrent que l’histoire lyonnaise n’est pas seulement commerçante ou gastronomique. Elle porte aussi une mémoire sociale forte, liée aux conditions de travail. Le Rhône devient ici un département de conflit ouvrier et d’organisation collective. Ce repère aide à mémoriser le département sans multiplier les dates.;3;peu commune;Archives municipales de Lyon;moins de 15 secondes sur smartphone
69 Rhône;histoire;Lyon imprime;À la Renaissance, Lyon devient un grand centre de l’imprimerie et du livre. Sa position commerciale aide les textes à circuler. Cette histoire donne au Rhône une identité savante et marchande, moins connue que la gastronomie mais très structurante. Ce repère aide à mémoriser le département sans multiplier les dates.;3;peu commune;Musée de l'Imprimerie Lyon;moins de 15 secondes sur smartphone
69 Rhône;histoire;Les foires de Lyon;Les foires lyonnaises font de la ville un carrefour européen de marchands, banquiers et produits. Le Rhône se comprend alors comme un espace d’échanges. Cette mémoire commerciale explique en partie la puissance urbaine de Lyon avant l’industrie moderne. Ce repère aide à mémoriser le département sans multiplier les dates.;3;peu commune;Archives municipales de Lyon;moins de 15 secondes sur smartphone
69 Rhône;histoire;Traboules et Résistance;Les traboules lyonnaises, passages à travers les immeubles, sont souvent associées à la Résistance pendant la Seconde Guerre mondiale. Elles rappellent que l’architecture peut servir de refuge, de raccourci et de réseau discret dans une ville surveillée. Ce repère aide à mémoriser le département sans multiplier les dates.;3;commune;Centre d'Histoire de la Résistance et de la Déportation;moins de 15 secondes sur smartphone
69 Rhône;histoire;Fourvière votive;La basilique de Fourvière domine Lyon et reste liée à des vœux religieux et à une forte dévotion locale. Son emplacement en hauteur donne au monument une puissance visuelle immédiate. Le Rhône y associe spiritualité, silhouette urbaine et panorama. Ce repère aide à mémoriser le département sans multiplier les dates.;3;commune;Basilique Notre-Dame de Fourvière;moins de 15 secondes sur smartphone
69 Rhône;histoire;Guignol naît à Lyon;Guignol apparaît à Lyon au début du XIXe siècle, créé par Laurent Mourguet. La marionnette garde une voix populaire et satirique. L’anecdote donne au Rhône une histoire théâtrale accessible, drôle et plus politique qu’elle n’en a l’air. Ce repère aide à mémoriser le département sans multiplier les dates.;2;commune;Musée Gadagne;moins de 15 secondes sur smartphone
69 Rhône;histoire;Le Beaujolais dans le département;Le Rhône porte une partie du Beaujolais, territoire viticole qui a construit une notoriété internationale. L’histoire locale y passe par les caves, les villages et le commerce du vin. Le département dépasse ainsi largement le seul cadre lyonnais. Ce repère aide à mémoriser le département sans multiplier les dates.;2;commune;Inter Beaujolais;moins de 15 secondes sur smartphone
69 Rhône;géographie;La confluence;Lyon est construite autour de la rencontre du Rhône et de la Saône. Cette confluence donne une lecture très simple du territoire. Deux fleuves, deux rythmes et une presqu’île expliquent une grande partie de la forme urbaine. Ce repère donne une image claire du département en quelques secondes.;1;commune;Métropole de Lyon;moins de 15 secondes sur smartphone
69 Rhône;géographie;Les monts du Lyonnais;Les monts du Lyonnais rappellent que le Rhône n’est pas seulement urbain. À l’ouest, reliefs, villages et vergers donnent une respiration rurale. Cette géographie de proximité permet de passer rapidement de la grande ville à un paysage plus doux. Ce repère donne une image claire du département en quelques secondes.;3;peu commune;Rhône Tourisme;moins de 15 secondes sur smartphone
69 Rhône;géographie;Le Beaujolais vallonné;Le Beaujolais forme un paysage de coteaux, de vignes et de villages en pierre dorée. Il donne au département une géographie viticole très lisible. Pour GeoDoku, c’est une alternative rurale et gourmande à l’image métropolitaine de Lyon. Ce repère donne une image claire du département en quelques secondes.;2;commune;Inter Beaujolais;moins de 15 secondes sur smartphone
69 Rhône;géographie;Les pierres dorées;Au nord-ouest de Lyon, des villages construits en pierre dorée donnent une couleur chaude au paysage. Cette géologie visible transforme l’architecture en marqueur territorial. Le Rhône devient alors immédiatement reconnaissable par la matière même des maisons. Ce repère donne une image claire du département en quelques secondes.;3;peu commune;Office de tourisme Beaujolais;moins de 15 secondes sur smartphone
69 Rhône;géographie;Un couloir de circulation;La vallée du Rhône est l’un des grands axes de circulation français, entre nord et Méditerranée. Même si le département est petit, sa position est décisive. Le Rhône se comprend comme un passage autant que comme une destination. Ce repère donne une image claire du département en quelques secondes.;2;commune;IGN;moins de 15 secondes sur smartphone
69 Rhône;gastronomie;Le bouchon lyonnais;Le bouchon lyonnais concentre une cuisine de salle, de nappe, de plats généreux et de conversations. Il n’est pas qu’un restaurant typique. C’est une scène sociale où la ville se raconte par l’assiette, le vin et l’habitude. Ce goût local donne une accroche simple au joueur sur smartphone.;1;commune;Office de tourisme de Lyon;moins de 15 secondes sur smartphone
69 Rhône;gastronomie;La quenelle;La quenelle lyonnaise, souvent servie avec une sauce onctueuse, donne au Rhône une spécialité immédiatement identifiable. Sa texture compte autant que son goût. L’anecdote marche bien car elle associe cuisine populaire, technique et mémoire des tables lyonnaises. Ce goût local donne une accroche simple au joueur sur smartphone.;2;commune;Office de tourisme de Lyon;moins de 15 secondes sur smartphone
69 Rhône;gastronomie;La praline rose;La praline rose donne à Lyon une couleur gourmande très reconnaissable. On la retrouve dans la brioche, les tartes ou les vitrines. Cette spécialité est utile en jeu, car elle crée une image simple, sucrée et visuelle. Ce goût local donne une accroche simple au joueur sur smartphone.;2;commune;Office de tourisme de Lyon;moins de 15 secondes sur smartphone
69 Rhône;gastronomie;La salade lyonnaise;La salade lyonnaise associe souvent salade, lardons, croûtons et œuf poché. Elle illustre une cuisine qui sait être simple mais nourrissante. Dans le Rhône, même une entrée peut raconter l’équilibre entre bistrot, tradition et efficacité. Ce goût local donne une accroche simple au joueur sur smartphone.;2;commune;Office de tourisme de Lyon;moins de 15 secondes sur smartphone
69 Rhône;gastronomie;Le beaujolais nouveau;Le beaujolais nouveau a rendu célèbre une sortie de vin presque événementielle. Chaque année, la bouteille devient prétexte à fête et communication. Le Rhône tient ici une anecdote gastronomique rare, où le calendrier compte autant que le produit. Ce goût local donne une accroche simple au joueur sur smartphone.;2;commune;Inter Beaujolais;moins de 15 secondes sur smartphone
69 Rhône;culture;Les frères Lumière;Lyon est liée aux frères Lumière, figures majeures des débuts du cinéma. Cette histoire donne au Rhône une place essentielle dans la culture visuelle moderne. Une ville industrielle et savante devient aussi un point de départ du regard filmé. C’est un repère culturel facile à retenir pendant une partie.;1;commune;Institut Lumière;moins de 15 secondes sur smartphone
69 Rhône;culture;La Fête des Lumières;La Fête des Lumières transforme Lyon en parcours nocturne, populaire et lumineux. Elle relie dévotion, tradition urbaine et création contemporaine. Pour un jeu mobile, l’image est très forte, car toute la ville devient écran et décor. C’est un repère culturel facile à retenir pendant une partie.;1;commune;Ville de Lyon;moins de 15 secondes sur smartphone
69 Rhône;culture;Les Nuits de Fourvière;Les Nuits de Fourvière utilisent les théâtres antiques comme scène de festival. La culture contemporaine s’installe dans un décor romain. Cette superposition donne une anecdote parfaite, car elle fait dialoguer patrimoine ancien et spectacles vivants. C’est un repère culturel facile à retenir pendant une partie.;2;commune;Nuits de Fourvière;moins de 15 secondes sur smartphone
69 Rhône;culture;Le musée des Confluences;Le musée des Confluences, posé près de la rencontre des fleuves, assume une architecture très contemporaine. Il raconte sciences, sociétés et récits du monde. Le Rhône y gagne une culture de curiosité, pas seulement de tradition lyonnaise. C’est un repère culturel facile à retenir pendant une partie.;2;commune;Musée des Confluences;moins de 15 secondes sur smartphone
69 Rhône;culture;Guignol parle au peuple;Guignol n’est pas seulement une marionnette pour enfants. À l’origine, il porte une parole populaire, satirique et lyonnaise. Cette culture légère en apparence donne au Rhône une manière de critiquer le pouvoir par le rire. C’est un repère culturel facile à retenir pendant une partie.;2;peu commune;Musée Gadagne;moins de 15 secondes sur smartphone
69 Rhône;insolite;Les traboules cachées;Les traboules permettent de passer d’une rue à l’autre en traversant des cours et des immeubles. Elles donnent à Lyon un réseau discret, presque secret. L’anecdote est efficace car elle transforme la marche urbaine en petit jeu d’exploration. Ce détail crée une image rapide, utile pour retenir le département.;2;commune;Office de tourisme de Lyon;moins de 15 secondes sur smartphone
69 Rhône;insolite;Le mur des Canuts;Le mur des Canuts, à la Croix-Rousse, est une fresque monumentale en trompe-l’œil. Il montre comment Lyon aime raconter la ville sur ses propres murs. L’illusion devient patrimoine contemporain, visible sans entrer dans un musée. Ce détail crée une image rapide, utile pour retenir le département.;2;commune;CitéCréation;moins de 15 secondes sur smartphone
69 Rhône;insolite;La cour des Voraces;La cour des Voraces impressionne par son escalier et son lien avec la mémoire des canuts. Le lieu est à la fois architectural et social. Une simple cour intérieure devient un concentré de Lyon secret, ouvrier et photogénique. Ce détail crée une image rapide, utile pour retenir le département.;3;peu commune;Office de tourisme de Lyon;moins de 15 secondes sur smartphone
69 Rhône;insolite;Une horloge astronomique;La cathédrale Saint-Jean possède une horloge astronomique qui attire le regard par sa mécanique et son ancienneté. Elle donne à Lyon un détail presque magique. Le temps, la religion et la technique se rencontrent dans un même objet. Ce détail crée une image rapide, utile pour retenir le département.;3;peu commune;Cathédrale Saint-Jean Lyon;moins de 15 secondes sur smartphone
69 Rhône;insolite;Deux fleuves, deux couleurs;À Lyon, le Rhône et la Saône peuvent offrir des couleurs et des vitesses différentes avant leur confluence. Ce détail donne une lecture sensible de la ville. La géographie devient visible à l’œil nu, sans carte ni chiffres. Ce détail crée une image rapide, utile pour retenir le département.;2;commune;Métropole de Lyon;moins de 15 secondes sur smartphone
13 Bouches-du-Rhône;histoire;Marseille fondée par les Phocéens;Marseille est traditionnellement présentée comme fondée par des Grecs venus de Phocée vers 600 avant notre ère. Cette origine donne à la ville une profondeur méditerranéenne rare. Les Bouches-du-Rhône commencent donc par un port, une rencontre et un récit très ancien.;1;commune;Musée d'Histoire de Marseille;moins de 15 secondes sur smartphone
13 Bouches-du-Rhône;histoire;La Marseillaise nommée par la ville;Le chant révolutionnaire appelé La Marseillaise doit son nom aux volontaires marseillais qui le popularisent en arrivant à Paris. L’anecdote est puissante car une ville donne son nom à l’hymne national. Marseille devient alors symbole politique. Ce repère aide à mémoriser le département sans multiplier les dates.;1;commune;Musée d'Histoire de Marseille;moins de 15 secondes sur smartphone
13 Bouches-du-Rhône;histoire;Arles romaine;Arles conserve des monuments romains majeurs, dont les arènes et le théâtre antique. Cette présence donne aux Bouches-du-Rhône une antiquité très visible. Le département n’est pas seulement maritime ou provençal, il est aussi profondément romain. Ce repère aide à mémoriser le département sans multiplier les dates.;1;commune;UNESCO Arles;moins de 15 secondes sur smartphone
13 Bouches-du-Rhône;histoire;Aix capitale provençale;Aix-en-Provence fut une capitale politique et judiciaire de la Provence. Ses hôtels particuliers, ses places et son cours Mirabeau gardent cette mémoire de pouvoir. L’anecdote montre que le département ne se résume pas à Marseille. Ce repère aide à mémoriser le département sans multiplier les dates.;2;commune;Ville d'Aix-en-Provence;moins de 15 secondes sur smartphone
13 Bouches-du-Rhône;histoire;Sète non, Suez oui Marseille;Le port de Marseille grandit fortement avec les échanges méditerranéens et coloniaux, notamment après l’ouverture du canal de Suez. Cette histoire donne à la ville un rôle mondial. Le Vieux-Port pittoresque cache une puissance portuaire bien plus large. Ce repère aide à mémoriser le département sans multiplier les dates.;3;peu commune;Grand Port Maritime de Marseille;moins de 15 secondes sur smartphone
13 Bouches-du-Rhône;histoire;L’étang de Berre industriel;Autour de l’étang de Berre, le XXe siècle installe raffineries, aéronautique et grandes infrastructures. Cette histoire donne aux Bouches-du-Rhône une facette industrielle souvent moins montrée que Marseille ou les calanques. La Provence peut aussi être usines et énergie. Ce repère aide à mémoriser le département sans multiplier les dates.;4;rare;Métropole Aix-Marseille-Provence;moins de 15 secondes sur smartphone
13 Bouches-du-Rhône;histoire;Tarascon sur le Rhône;Le château de Tarascon garde une silhouette massive au bord du Rhône. Il rappelle que les Bouches-du-Rhône sont aussi un département fluvial et défensif. Entre Provence et couloir rhodanien, le territoire a longtemps contrôlé les passages. Ce repère aide à mémoriser le département sans multiplier les dates.;3;peu commune;Centre des monuments nationaux;moins de 15 secondes sur smartphone
13 Bouches-du-Rhône;histoire;Nostradamus à Salon;Salon-de-Provence reste associé à Nostradamus, qui y vécut et y mourut au XVIe siècle. Le personnage attire légendes et curiosité, mais il ancre aussi la ville dans l’histoire savante de la Renaissance. Une anecdote courte, très mémorisable. Ce repère aide à mémoriser le département sans multiplier les dates.;3;peu commune;Ville de Salon-de-Provence;moins de 15 secondes sur smartphone
13 Bouches-du-Rhône;histoire;Le port antique retrouvé;À Marseille, le jardin des Vestiges montre des traces du port antique découvertes lors de travaux urbains. L’anecdote est forte parce qu’elle place l’Antiquité sous la ville moderne. Le passé portuaire n’est pas abstrait, il affleure. Ce repère aide à mémoriser le département sans multiplier les dates.;3;peu commune;Musée d'Histoire de Marseille;moins de 15 secondes sur smartphone
